,이용횟수
11110892.0,8
28041001.0,13
41485033.0,7
11110501.0,18
11110915.0,3
41051107.0,68
11110071.0,10
11110282.0,8
41067110.0,38
41025002.0,18
11110606.0,7
11110612.0,5
11110596.0,14
41044119.0,10
41454002.0,1
41026043.0,28
28038003.0,8
41032021.0,3
41008131.0,5
41003101.0,5
11110744.0,5
41004001.0,54
41006260.0,15
41017003.0,22
11110861.0,4
41005126.0,15
41008133.0,4
41110001.0,8
41003283.0,43
11110588.0,5
11110595.0,8
41319030.0,4
41485017.0,5
41091008.0,14
11110010.0,11
41008146.0,12
41075018.0,51
41022110.0,9
11110757.0,3
41068187.0,20
41002627.0,17
41423016.0,12
11110872.0,24
41485023.0,3
41002025.0,2
28228010.0,6
41003312.0,107
41005137.0,3
11110957.0,2
41021039.0,10
41282001.0,21
41325004.0,1
41005131.0,12
41008103.0,8
41091013.0,6
41110006.0,21
28004002.0,17
41262005.0,2
11110142.0,5
41293004.0,3
41425002.0,72
41236003.0,4
41041001.0,14
11110703.0,5
28210001.0,7
11110065.0,22
41005001.0,2
28216003.0,7
28326002.0,5
41003023.0,23
41006276.0,33
41022136.0,15
41076003.0,9
28026006.0,5
28022011.0,3
41284007.0,11
11110738.0,4
11110682.0,2
41072006.0,5
11110053.0,21
11110513.0,6
41022141.0,10
41427002.0,15
11110755.0,7
41110116.0,6
28210002.0,2
41023107.0,2
41006356.0,37
41022137.0,5
11110095.0,7
41063004.0,25
41004005.0,16
41483016.0,28
11110538.0,24
11110424.0,2
28511009.0,5
41003717.0,11
11110375.0,8
41007108.0,2
41331003.0,1
11110758.0,9
11110556.0,18
11110074.0,6
28022004.0,3
41011005.0,9
41068183.0,20
11110762.0,4
41002005.0,6
11110408.0,48
41091007.0,5
28510008.0,2
11110527.0,2
11110335.0,11
11110669.0,15
11110800.0,19
11110260.0,19
41012108.0,30
41352003.0,1
28311001.0,1
41003262.0,3
11110151.0,3
28228007.0,1
41007136.0,18
41422006.0,41
41003496.0,28
41024027.0,16
41056001.0,13
41076011.0,4
11110668.0,7
11110590.0,50
28039002.0,6
41023101.0,4
41023117.0,1
41294002.0,5
41091004.0,5
11110381.0,36
41439010.0,3
41032034.0,29
28216004.0,1
41319009.0,5
41072004.0,7
11110804.0,14
11110591.0,14
11110710.0,37
11110285.0,6
41003157.0,1
11110295.0,3
41008110.0,3
41006404.0,4
41030021.0,4
11110541.0,15
28039001.0,2
11110907.0,15
11110137.0,3
28214004.0,3
41427004.0,17
11110695.0,1
41461002.0,4
41007106.0,7
11110656.0,24
11110266.0,28
41009163.0,1
41235001.0,3
41006278.0,4
41006102.0,8
41011147.0,4
41088010.0,16
11111160.0,5
11110726.0,15
11410001.0,14
41016027.0,13
28314005.0,6
28343003.0,12
41335001.0,16
41282009.0,59
41110147.0,7
41072007.0,6
41002211.0,41
11110370.0,5
11110056.0,16
41327001.0,16
41008112.0,1
11110354.0,13
41424010.0,34
11110517.0,9
41110152.0,6
11110607.0,15
41032008.0,9
41002263.0,8
28231007.0,6
41006158.0,2
41035103.0,2
41026016.0,15
28309003.0,1
41006408.0,41
41076017.0,4
41304707.0,1
41018019.0,1
41030029.0,8
41006189.0,6
28005004.0,4
41011010.0,6
41032031.0,1
11110310.0,7
41045011.0,28
28001002.0,25
28004001.0,5
11111159.0,13
41326003.0,3
41319035.0,1
41018173.0,4
11110620.0,4
11110681.0,10
41022142.0,3
41007009.0,3
41002197.0,10
11110377.0,2
11110803.0,19
11110618.0,8
41262001.0,7
11110202.0,18
41319002.0,6
11110990.0,16
41019006.0,51
41091003.0,5
41072001.0,8
11110746.0,22
11110027.0,12
28511012.0,6
28001007.0,15
41003724.0,26
11110324.0,4
41003264.0,1
41022113.0,1
41382005.0,25
41215006.0,38
28217001.0,1
41022106.0,3
41003722.0,18
11110236.0,63
41483005.0,2
28012001.0,7
41224002.0,6
41003716.0,1
41439011.0,2
41032016.0,8
41006353.0,4
28511006.0,10
28231005.0,3
41221004.0,91
41426001.0,8
11110889.0,2
11110860.0,7
11110646.0,1
41422003.0,7
41032007.0,7
41293001.0,1
41110200.0,13
41026014.0,12
11110760.0,1
41022127.0,1
11110727.0,16
41002049.0,6
41059016.0,1
41040007.0,2
41007137.0,88
41068137.0,1
41328006.0,4
41313003.0,3
41002480.0,2
28206001.0,2
41007024.0,16
41036142.0,9
41030003.0,6
41014103.0,1
11110242.0,11
11110115.0,5
11110078.0,4
41085901.0,7
41419010.0,22
41425014.0,33
11110330.0,4
11110988.0,1
28003001.0,5
11110515.0,1
41068184.0,4
41308701.0,1
11110145.0,1
11110719.0,34
41219006.0,27
11110615.0,10
41007132.0,34
41352007.0,1
11110364.0,4
41006205.0,4
41006354.0,3
11110030.0,11
41006339.0,9
41091005.0,2
28023001.0,5
41094002.0,11
41042111.0,1
11110372.0,1
41438001.0,1
41068204.0,12
41110002.0,13
41039012.0,24
41034118.0,3
41011136.0,3
41008101.0,5
41034124.0,1
11110711.0,6
41057008.0,2
41009147.0,2
11110960.0,15
41352009.0,6
41339002.0,7
41065104.0,11
11110961.0,7
41284006.0,40
28038007.0,5
41022108.0,11
41295708.0,2
28216002.0,7
11110178.0,15
11110077.0,6
41005103.0,2
41006349.0,3
41030019.0,6
11110568.0,5
41087001.0,9
28050900.0,10
11110552.0,2
41007123.0,3
28214005.0,4
41299705.0,2
41327002.0,4
41253002.0,22
41015003.0,11
41022122.0,8
28022006.0,3
41062102.0,1
41068185.0,1
41017110.0,2
41040004.0,3
41007114.0,13
41088012.0,9
41022111.0,4
41340001.0,6
41110054.0,11
41002167.0,8
11110902.0,6
11110807.0,6
41034011.0,4
11110329.0,5
41282003.0,36
41466004.0,1
41005012.0,1
41006344.0,54
41002042.0,2
41024007.0,4
41084002.0,1
41306703.0,1
41032009.0,4
41057028.0,5
28206004.0,1
28012002.0,9
41005027.0,9
41059026.0,2
41007025.0,4
41068180.0,1
41079001.0,8
11110530.0,5
28335003.0,4
41319003.0,2
11110716.0,3
41038127.0,2
41002069.0,5
41016001.0,11
28229002.0,1
11110586.0,7
41005125.0,6
41079003.0,21
41216004.0,25
41221005.0,29
41002123.0,3
28001003.0,4
41447005.0,1
41063005.0,2
41003192.0,3
11110158.0,15
41485031.0,4
41299706.0,1
41347006.0,1
11110712.0,4
