,이용횟수
4108150.0,908
4111622.0,358
4103565.0,27
1407.0,112
4116811.0,371
4118429.0,49
2812.0,170
4176479.0,61
4111640.0,267
4116617.0,33
4101527.0,103
8501534.0,7
4100459.0,195
4195615.0,246
4118338.0,405
4123693.0,599
4117288.0,328
212.0,174
4117268.0,655
9012505.0,94
4108142.0,363
4114078.0,54
4178947.0,135
4117420.0,21
1714.0,764
4178819.0,6
4112185.0,3
4110257.0,99
4171018.0,51
4102885.0,17
4117261.0,204
4101533.0,334
4117318.0,1527
4100072.0,399
4114484.0,7
4103807.0,80
4103688.0,135
4108166.0,468
4102790.0,84
4108135.0,637
4195603.0,296
4119413.0,79
4170378.0,293
4117201.0,157
4108057.0,443
4179361.0,207
4117274.0,282
228.0,285
4116758.0,606
4160360.0,338
4118391.0,25
4199191.0,246
71614.0,1
4121995.0,184
4100644.0,622
4100447.0,563
4116837.0,2005
4130555.0,60
2800751.0,1
2801799.0,7
216.0,448
4116670.0,89
4130157.0,104
4160389.0,115
8501889.0,1
4151749.0,632
4170922.0,124
4160268.0,80
9009398.0,10
230.0,286
4160306.0,1015
4197463.0,1780
4100056.0,2171
4199766.0,95
4515.0,70
4100117.0,1228
4100441.0,751
249.0,59
4111926.0,659
4111842.0,834
1857.0,1062
4100131.0,1210
4103484.0,276
4100068.0,582
4179366.0,144
4179358.0,144
1702.0,1179
4170958.0,19
10762.0,24
4179335.0,805
4111748.0,703
4195943.0,35
4116979.0,780
4111906.0,3
4135020.0,301
4108086.0,709
4150349.0,91
4116867.0,1101
4135014.0,180
4108101.0,630
4108173.0,2464
4117342.0,72
72486.0,3
4150595.0,98
4111812.0,393
4135019.0,365
4102919.0,33
4199339.0,73
4170255.0,459
4116181.0,358
4116868.0,731
4130357.0,241
4102868.0,77
4117016.0,170
4111846.0,570
4100386.0,247
4107946.0,1076
4108048.0,1275
4111887.0,250
8003138.0,439
4116887.0,491
4117006.0,553
4195718.0,603
8812.0,236
4107121.0,51
4100006.0,552
4112034.0,854
4100565.0,649
337.0,60
4150146.0,181
4108020.0,344
4130402.0,829
4121388.0,47
4105478.0,16
4173743.0,2
4116866.0,107
4121808.0,49
4116548.0,402
4105280.0,42
4130434.0,541
4108123.0,724
4160370.0,41
340.0,38
9004930.0,1
4113.0,65
4108169.0,775
4117418.0,12
8009290.0,1349
4117227.0,384
9006339.0,195
4103671.0,59
4116680.0,716
2756.0,91
4197335.0,3
4506.0,96
4111660.0,372
4178230.0,10
4160227.0,110
